id,category,description,location,danger_score,health_risk,environment_damage,infrastructure_damage,fire_risk,flooding_indicator,urgency_keywords_score,human_harm_risk
227,Street Light Fault,Flickering light causing visibility issues.,Oshodi,0.61,0.85,0.38,0.96,0.49,0.19,0.21,0.14
228,Security Issue,Residents robbed by armed men.,Ajah,0.6,0.53,0.55,0.72,0.95,0.86,0.73,0.29
229,Environmental Pollution,Burning refuse causing air pollution.,Ikorodu,0.93,0.31,0.3,0.36,0.99,0.32,0.12,0.88
230,Waste Management,Illegal dumping of refuse beside the road.,Berger,0.82,0.91,0.93,0.83,0.14,0.68,0.96,0.57
231,Blocked Drainage,Blocked gutter causing mosquitoes.,Lekki,0.44,0.52,0.19,0.49,0.78,0.72,0.8,0.52
232,Environmental Pollution,Oil spill contaminating the ground.,Ajah,0.69,0.61,0.87,0.18,0.47,0.41,0.67,0.2
233,Fire Hazard,Smoke coming from abandoned structure.,Victoria Island,0.6,0.81,0.42,0.65,0.89,0.77,0.83,0.38
234,Environmental Pollution,Oil spill contaminating the ground.,Berger,0.81,0.26,0.44,0.21,0.42,0.42,0.22,0.13
235,Water Leakage,Water leakage causing erosion.,Agege,0.73,0.22,0.55,0.48,0.85,0.49,0.21,0.27
236,Street Light Fault,Flickering light causing visibility issues.,Agege,0.68,0.44,0.39,0.43,0.95,0.9,0.24,0.97
237,Security Issue,Suspicious gang movement reported.,Ikeja,0.14,0.61,0.36,0.96,0.63,0.83,0.34,0.17
238,Water Leakage,Water leakage causing erosion.,Badagry,0.73,0.95,0.36,0.29,0.76,0.27,0.43,0.62
239,Electricity Outage,Transformer sparking and making noise.,Ikeja,0.62,0.91,0.32,0.65,0.94,0.77,0.24,0.91
240,Flooding,Floodwater entering shops and houses.,Oshodi,0.46,0.29,0.23,0.36,0.52,0.34,0.21,0.24
241,Waste Management,Illegal dumping of refuse beside the road.,Yaba,0.18,0.87,0.32,0.61,0.28,0.63,0.81,0.69
242,Water Leakage,Burst water pipe wasting clean water.,Festac,0.63,0.44,0.74,0.95,0.56,0.25,0.51,0.18
243,Road Damage,Large pothole causing traffic buildup.,Badagry,0.17,0.34,0.43,0.18,0.26,0.25,0.19,0.69
244,Road Damage,Damaged road making it difficult for vehicles to pass.,Ikorodu,0.98,0.55,0.29,0.99,0.28,0.14,0.89,0.83
245,Road Damage,Large pothole causing traffic buildup.,Yaba,0.46,0.75,0.42,0.64,0.64,0.87,0.64,0.77
246,Environmental Pollution,Burning refuse causing air pollution.,Oshodi,0.4,0.53,0.33,0.51,0.89,0.87,0.27,0.39
247,Fire Hazard,Electric wire sparking near transformer.,Oshodi,0.57,0.68,0.42,0.58,0.63,0.95,0.82,0.92
248,Security Issue,Residents robbed by armed men.,Badagry,0.27,0.85,0.26,0.11,0.27,0.85,0.49,0.93
249,Fire Hazard,Electric wire sparking near transformer.,Ikeja,0.54,0.62,0.91,0.53,0.81,0.74,0.58,1.0
250,Street Light Fault,Street light not working for 2 weeks.,Berger,0.13,0.14,0.83,0.19,0.64,0.29,0.79,0.86
251,Environmental Pollution,Thick smoke from nearby factory.,Berger,0.9,0.41,0.97,0.21,0.25,0.29,0.37,0.34
252,Fire Hazard,Smoke coming from abandoned structure.,Berger,0.92,0.39,0.13,0.34,0.67,0.59,0.72,0.54
253,Flooding,"Street flooded after heavy rain, blocking movement.",Victoria Island,0.54,0.69,0.15,0.59,0.58,0.58,0.94,0.21
254,Fire Hazard,Electric wire sparking near transformer.,Victoria Island,0.47,0.69,0.74,0.74,0.12,0.23,0.73,1.0
255,Street Light Fault,Flickering light causing visibility issues.,Abule Egba,0.47,0.89,0.73,0.62,0.95,0.49,0.41,0.76
256,Water Leakage,Strong water pressure burst the pipe overnight.,Yaba,0.38,0.47,0.38,0.68,0.11,0.19,0.86,0.93
257,Road Damage,Part of the road collapsed after rainfall.,Ogba,0.12,0.91,0.94,0.61,0.21,0.21,0.87,0.89
258,Blocked Drainage,Sewage water overflowing onto the street.,Abule Egba,0.73,0.88,0.91,0.81,0.16,0.94,0.82,1.0
259,Waste Management,Garbage not collected for over a week.,Yaba,0.96,0.64,0.1,0.83,0.88,0.28,0.22,0.84
260,Electricity Outage,Transformer sparking and making noise.,Berger,0.51,0.62,0.44,0.98,0.31,0.74,0.28,0.18
261,Environmental Pollution,Thick smoke from nearby factory.,Ajah,1.0,0.14,0.15,0.81,0.34,0.67,0.92,0.84
262,Road Damage,Large pothole causing traffic buildup.,Ajah,0.65,0.39,0.83,0.61,0.88,0.76,0.92,0.89
263,Road Damage,Large pothole causing traffic buildup.,Festac,0.93,0.32,0.7,0.28,0.17,0.11,0.58,0.91
264,Blocked Drainage,Blocked gutter causing mosquitoes.,Victoria Island,0.86,0.54,0.49,0.9,0.93,0.96,0.68,0.41
265,Road Damage,Part of the road collapsed after rainfall.,Oshodi,0.62,0.67,0.21,0.75,0.26,0.74,0.19,0.65
266,Fire Hazard,Gas smell around the building.,Berger,0.45,0.23,0.42,0.23,0.44,0.69,0.34,0.39
267,Water Leakage,Strong water pressure burst the pipe overnight.,Oshodi,0.28,0.73,0.11,0.47,0.73,0.11,0.65,0.49
268,Fire Hazard,Gas smell around the building.,Agege,0.82,0.2,0.53,0.69,0.87,0.67,0.71,0.81
269,Street Light Fault,Flickering light causing visibility issues.,Yaba,0.27,0.66,0.27,0.29,0.19,0.4,0.9,0.48
270,Waste Management,Garbage not collected for over a week.,Yaba,0.73,0.6,0.44,0.19,0.67,0.36,0.11,0.65
271,Fire Hazard,Electric wire sparking near transformer.,Ikorodu,0.6,0.87,0.69,0.2,0.83,0.72,0.25,0.3
272,Waste Management,Illegal dumping of refuse beside the road.,Abule Egba,0.49,0.93,0.19,0.51,0.1,0.44,0.3,0.1
273,Blocked Drainage,Sewage water overflowing onto the street.,Yaba,0.82,0.89,0.16,0.22,0.44,0.85,0.87,0.13
274,Fire Hazard,Smoke coming from abandoned structure.,Lekki,0.85,0.54,0.99,0.84,0.14,0.77,0.89,0.6
275,Water Leakage,Burst water pipe wasting clean water.,Lekki,0.17,0.48,0.54,0.73,0.33,0.16,0.95,0.81
276,Electricity Outage,Transformer sparking and making noise.,Ajah,0.79,0.7,0.54,0.7,0.32,0.5,0.65,0.56
277,Fire Hazard,Gas smell around the building.,Badagry,0.43,0.79,0.5,0.13,0.69,0.71,0.19,0.54
278,Flooding,"Street flooded after heavy rain, blocking movement.",Oshodi,0.66,0.57,0.5,0.22,0.43,0.83,0.45,0.57
279,Road Damage,Part of the road collapsed after rainfall.,Festac,0.45,0.32,0.23,0.65,0.48,0.32,0.51,0.65
280,Environmental Pollution,Thick smoke from nearby factory.,Yaba,0.95,0.76,0.86,0.27,0.54,0.82,0.79,0.21
281,Waste Management,Overflowing waste bins causing smell and flies.,Ikeja,0.44,0.77,0.22,0.56,0.17,0.78,0.61,0.84
282,Environmental Pollution,Oil spill contaminating the ground.,Abule Egba,0.56,0.69,0.19,0.43,0.71,0.14,0.51,0.96
283,Electricity Outage,Electric poles tilted dangerously.,Surulere,0.34,0.82,0.88,0.12,0.96,0.9,0.97,0.21
284,Blocked Drainage,Sewage water overflowing onto the street.,Ogba,0.91,0.14,0.34,0.64,0.69,0.52,0.18,0.59
285,Blocked Drainage,Drainage filled with plastic waste.,Badagry,0.6,0.59,0.91,0.65,0.68,0.85,0.76,0.24
286,Electricity Outage,Electric poles tilted dangerously.,Festac,0.57,0.23,0.23,0.28,0.72,0.44,0.32,0.52
287,Environmental Pollution,Oil spill contaminating the ground.,Festac,0.98,0.91,0.41,0.79,0.15,0.55,0.98,0.77
288,Water Leakage,Strong water pressure burst the pipe overnight.,Maryland,0.49,0.31,0.88,0.28,0.19,0.68,0.94,0.68
289,Street Light Fault,Street light not working for 2 weeks.,Ikeja,0.4,0.48,0.57,0.41,0.55,0.97,0.5,0.25
290,Street Light Fault,Completely dark area at night due to faulty light.,Lekki,0.41,0.98,0.43,0.76,0.34,0.79,0.54,0.39
291,Security Issue,Residents robbed by armed men.,Yaba,0.47,0.76,0.8,0.54,0.51,0.89,0.98,0.29
292,Security Issue,Area experiencing constant theft at night.,Festac,0.36,0.78,0.1,0.44,0.72,0.2,0.49,0.55
293,Fire Hazard,Gas smell around the building.,Oshodi,0.15,0.53,0.86,0.45,0.35,0.2,0.62,0.73
294,Blocked Drainage,Sewage water overflowing onto the street.,Berger,0.94,0.39,0.98,0.33,0.16,0.39,0.43,0.89
295,Road Damage,Part of the road collapsed after rainfall.,Surulere,0.8,0.6,0.9,0.29,0.91,0.94,0.18,0.42
296,Water Leakage,Strong water pressure burst the pipe overnight.,Ikeja,0.69,0.56,0.2,0.88,0.95,0.83,0.54,0.5
297,Water Leakage,Burst water pipe wasting clean water.,Festac,0.8,0.73,0.25,0.71,0.96,0.97,0.4,0.78
298,Environmental Pollution,Thick smoke from nearby factory.,Berger,0.68,0.88,0.51,0.48,0.96,0.81,0.54,0.52
299,Blocked Drainage,Sewage water overflowing onto the street.,Festac,0.86,0.14,0.31,0.69,0.62,0.56,0.54,0.17
300,Fire Hazard,Gas smell around the building.,Surulere,0.48,0.47,0.97,0.3,0.79,0.17,0.71,0.99
301,Waste Management,Garbage not collected for over a week.,Ajah,0.68,0.78,0.29,1.0,0.16,0.6,0.3,0.67
302,Water Leakage,Water leakage causing erosion.,Ikeja,0.82,0.18,0.95,0.53,0.2,0.42,0.41,0.35
303,Fire Hazard,Smoke coming from abandoned structure.,Ajah,0.11,0.37,0.69,0.59,0.41,0.61,0.83,0.56
304,Water Leakage,Water leakage causing erosion.,Victoria Island,0.21,0.45,0.24,0.92,0.76,0.31,0.7,0.75
305,Street Light Fault,Street light not working for 2 weeks.,Ikorodu,0.62,0.61,0.74,0.56,0.97,0.35,0.33,0.36
306,Flooding,"Street flooded after heavy rain, blocking movement.",Ikorodu,0.12,0.9,0.9,0.3,0.77,0.5,0.76,0.26
307,Road Damage,Large pothole causing traffic buildup.,Ogba,0.31,0.22,0.84,0.95,0.66,0.35,0.97,0.82
308,Street Light Fault,Completely dark area at night due to faulty light.,Ikeja,0.73,0.81,0.84,0.96,0.43,0.48,0.12,0.43
309,Environmental Pollution,Oil spill contaminating the ground.,Lekki,0.75,0.7,0.77,0.16,0.27,0.49,0.28,0.98
310,Road Damage,Damaged road making it difficult for vehicles to pass.,Victoria Island,0.47,0.46,0.85,0.64,0.55,0.86,0.28,0.93
311,Street Light Fault,Flickering light causing visibility issues.,Badagry,0.68,0.74,0.29,0.64,0.29,0.18,0.18,0.95
312,Road Damage,Damaged road making it difficult for vehicles to pass.,Ogba,0.35,0.95,0.9,0.41,0.29,0.56,0.71,0.27
313,Water Leakage,Burst water pipe wasting clean water.,Ikeja,0.27,0.55,0.73,0.11,0.25,0.57,0.84,0.27
314,Fire Hazard,Smoke coming from abandoned structure.,Ajah,0.34,0.21,0.15,0.65,0.64,0.49,0.77,0.77
315,Electricity Outage,Transformer sparking and making noise.,Ogba,0.62,0.19,0.99,0.99,0.86,0.35,0.78,0.89
316,Road Damage,Large pothole causing traffic buildup.,Ikorodu,0.39,0.93,0.9,0.66,0.93,0.55,0.98,0.39
317,Electricity Outage,Electric poles tilted dangerously.,Abule Egba,0.8,0.37,0.12,0.68,0.9,0.6,0.8,0.23
318,Environmental Pollution,Oil spill contaminating the ground.,Badagry,0.48,0.82,0.94,0.89,0.17,0.11,0.27,0.33
319,Fire Hazard,Smoke coming from abandoned structure.,Festac,0.35,0.78,0.98,0.4,0.14,0.68,0.28,0.83
320,Electricity Outage,Power outage for 48 hours.,Berger,0.48,0.62,0.85,0.6,0.92,0.97,0.71,0.31
321,Water Leakage,Burst water pipe wasting clean water.,Ikorodu,0.74,0.32,0.42,0.49,0.62,0.2,0.33,0.58
322,Security Issue,Residents robbed by armed men.,Berger,0.34,0.96,0.74,0.27,0.82,0.53,0.91,0.66
323,Blocked Drainage,Blocked gutter causing mosquitoes.,Agege,0.89,0.94,0.23,1.0,0.47,0.51,0.37,0.72
324,Security Issue,Area experiencing constant theft at night.,Lekki,0.56,0.46,0.9,0.76,0.44,0.96,0.77,0.81
325,Security Issue,Suspicious gang movement reported.,Ikorodu,0.85,0.79,0.43,0.93,0.26,0.2,0.91,0.78
326,Fire Hazard,Gas smell around the building.,Ogba,0.87,0.71,0.25,0.1,0.88,0.58,0.34,0.23
327,Flooding,Floodwater entering shops and houses.,Ikorodu,0.72,0.26,0.85,0.59,0.62,0.73,0.54,0.68
328,Environmental Pollution,Burning refuse causing air pollution.,Berger,0.21,0.1,0.8,0.43,0.96,0.65,0.73,0.73
329,Electricity Outage,Electric poles tilted dangerously.,Ogba,0.51,0.75,0.94,0.91,0.2,0.89,0.25,0.43
330,Security Issue,Residents robbed by armed men.,Victoria Island,0.18,0.87,0.9,0.76,0.19,0.95,0.39,0.28
331,Electricity Outage,Power outage for 48 hours.,Ikorodu,0.99,0.66,0.43,0.56,0.37,0.33,0.26,0.94
332,Electricity Outage,Electric poles tilted dangerously.,Surulere,0.49,0.66,0.75,0.54,0.43,0.59,0.65,0.23
333,Waste Management,Garbage not collected for over a week.,Victoria Island,0.69,0.19,0.9,0.34,0.37,0.63,0.23,0.59
334,Flooding,Floodwater entering shops and houses.,Yaba,0.82,0.16,0.82,0.84,0.34,0.77,0.55,0.22
335,Security Issue,Residents robbed by armed men.,Yaba,0.6,0.71,0.4,0.43,0.24,0.32,0.88,0.69
336,Flooding,Severe flooding due to blocked drainage.,Victoria Island,0.58,0.43,0.17,0.87,0.68,0.25,0.57,0.23
337,Street Light Fault,Completely dark area at night due to faulty light.,Victoria Island,0.38,0.95,0.51,0.3,0.45,0.86,0.26,0.68
338,Water Leakage,Burst water pipe wasting clean water.,Berger,0.76,0.77,0.73,0.77,0.83,0.18,0.32,0.5
339,Water Leakage,Burst water pipe wasting clean water.,Maryland,0.94,0.75,0.18,0.53,0.89,0.25,0.26,0.61
340,Road Damage,Part of the road collapsed after rainfall.,Ajah,0.93,0.56,0.76,0.86,0.1,0.77,0.23,0.9
341,Security Issue,Area experiencing constant theft at night.,Surulere,0.21,0.55,0.49,0.15,0.57,0.6,0.3,0.15
342,Road Damage,Damaged road making it difficult for vehicles to pass.,Oshodi,0.77,0.91,0.3,0.83,0.35,0.9,0.11,0.88
343,Street Light Fault,Street light not working for 2 weeks.,Ogba,0.69,0.35,0.79,0.43,0.79,0.44,0.69,0.76
344,Road Damage,Large pothole causing traffic buildup.,Badagry,0.32,0.53,0.49,0.29,0.73,0.97,0.31,0.13
345,Fire Hazard,Electric wire sparking near transformer.,Ikeja,0.27,0.63,0.27,0.99,0.11,0.75,0.88,0.86
346,Street Light Fault,Flickering light causing visibility issues.,Festac,0.27,0.74,0.54,0.15,0.79,0.72,0.63,0.79
347,Street Light Fault,Flickering light causing visibility issues.,Surulere,0.18,0.87,0.58,0.51,0.68,0.88,0.88,0.72
348,Road Damage,Part of the road collapsed after rainfall.,Maryland,0.11,0.17,0.98,0.25,0.86,0.16,0.52,0.39
349,Street Light Fault,Street light not working for 2 weeks.,Ikorodu,0.54,0.17,0.15,0.99,0.29,0.39,0.81,0.97
350,Waste Management,Overflowing waste bins causing smell and flies.,Surulere,0.67,0.99,0.89,0.4,0.95,0.24,0.82,0.88
351,Road Damage,Damaged road making it difficult for vehicles to pass.,Abule Egba,0.47,0.13,0.25,0.91,0.45,0.34,0.23,0.58
352,Road Damage,Part of the road collapsed after rainfall.,Maryland,0.69,0.72,0.14,0.1,0.69,0.73,0.23,0.77
353,Waste Management,Overflowing waste bins causing smell and flies.,Lekki,0.4,0.42,0.44,0.12,0.73,0.42,0.84,0.36
354,Blocked Drainage,Blocked gutter causing mosquitoes.,Ikorodu,0.48,0.13,0.53,0.97,0.94,0.24,0.65,0.28
355,Fire Hazard,Smoke coming from abandoned structure.,Maryland,0.98,0.76,0.14,0.57,0.87,0.69,0.14,0.19
356,Electricity Outage,Transformer sparking and making noise.,Berger,0.86,0.76,0.69,0.99,0.71,0.95,0.33,0.35
357,Security Issue,Area experiencing constant theft at night.,Festac,0.48,0.97,0.12,0.57,0.6,0.42,0.48,0.58
358,Water Leakage,Burst water pipe wasting clean water.,Ikorodu,0.58,0.49,0.4,0.39,0.68,0.55,0.81,0.38
359,Flooding,Floodwater entering shops and houses.,Surulere,0.52,0.81,0.27,0.95,0.32,0.39,0.5,0.74
360,Road Damage,Damaged road making it difficult for vehicles to pass.,Abule Egba,0.6,0.44,0.46,0.9,0.18,0.36,0.67,0.89
361,Blocked Drainage,Blocked gutter causing mosquitoes.,Agege,0.31,0.94,0.73,0.67,0.61,0.54,0.32,0.41
362,Fire Hazard,Smoke coming from abandoned structure.,Ajah,0.82,0.74,0.77,0.15,0.57,0.49,0.95,0.42
363,Road Damage,Part of the road collapsed after rainfall.,Yaba,0.51,0.37,0.86,0.74,0.81,0.92,0.58,0.99
364,Fire Hazard,Smoke coming from abandoned structure.,Ikorodu,0.6,0.57,0.64,0.97,0.53,0.4,0.79,0.53
365,Flooding,"Street flooded after heavy rain, blocking movement.",Abule Egba,0.44,0.97,0.4,0.86,0.62,0.49,0.86,0.9
366,Flooding,"Street flooded after heavy rain, blocking movement.",Lekki,0.91,0.48,0.75,0.57,0.35,0.58,0.58,0.72
367,Road Damage,Part of the road collapsed after rainfall.,Ikeja,0.32,0.39,0.93,0.73,0.61,0.86,0.26,0.92
368,Street Light Fault,Street light not working for 2 weeks.,Maryland,0.94,0.59,0.35,0.83,0.31,0.87,0.55,0.24
369,Flooding,Floodwater entering shops and houses.,Agege,0.33,0.51,0.37,0.17,0.84,0.82,0.21,0.6
370,Security Issue,Suspicious gang movement reported.,Oshodi,0.51,0.34,0.71,0.43,0.48,0.49,0.16,0.24
371,Road Damage,Part of the road collapsed after rainfall.,Ikorodu,0.97,0.68,0.6,0.39,0.68,0.51,0.55,0.67
372,Environmental Pollution,Burning refuse causing air pollution.,Ikorodu,0.82,0.58,0.21,0.47,0.95,0.87,0.22,0.11
373,Street Light Fault,Street light not working for 2 weeks.,Ikeja,0.67,0.42,0.42,0.8,0.96,0.15,0.33,0.45
374,Electricity Outage,Transformer sparking and making noise.,Yaba,0.46,0.35,0.26,0.78,0.44,0.4,0.95,0.29
375,Fire Hazard,Gas smell around the building.,Badagry,0.52,0.76,0.19,0.88,0.16,0.22,0.31,0.79
376,Waste Management,Illegal dumping of refuse beside the road.,Ogba,0.38,0.97,0.8,0.65,0.57,0.44,0.65,0.63
377,Water Leakage,Burst water pipe wasting clean water.,Ogba,0.45,0.85,0.15,0.72,0.95,0.88,0.58,0.71
378,Water Leakage,Strong water pressure burst the pipe overnight.,Festac,0.96,0.6,0.46,1.0,0.8,0.26,0.46,0.39
379,Road Damage,Damaged road making it difficult for vehicles to pass.,Yaba,0.4,0.6,0.21,0.97,0.61,0.3,0.54,0.13
380,Street Light Fault,Flickering light causing visibility issues.,Ikorodu,0.9,0.82,0.93,0.24,0.53,0.4,0.51,0.18
381,Waste Management,Overflowing waste bins causing smell and flies.,Maryland,0.22,0.77,0.99,0.43,0.21,0.73,0.27,0.7
382,Road Damage,Damaged road making it difficult for vehicles to pass.,Victoria Island,0.33,0.25,0.58,0.7,0.53,0.96,0.75,0.64
383,Fire Hazard,Gas smell around the building.,Agege,0.52,0.8,0.54,0.35,0.74,0.98,0.91,0.66
384,Fire Hazard,Electric wire sparking near transformer.,Agege,0.95,0.6,0.81,0.73,0.46,0.25,0.83,0.37
385,Flooding,Floodwater entering shops and houses.,Oshodi,0.96,0.77,0.9,0.85,0.86,0.93,0.42,0.38
386,Environmental Pollution,Oil spill contaminating the ground.,Victoria Island,0.43,0.17,0.53,0.95,0.19,0.7,0.12,0.82
387,Street Light Fault,Street light not working for 2 weeks.,Festac,0.76,0.63,0.88,0.23,0.37,0.17,0.48,0.87
388,Road Damage,Large pothole causing traffic buildup.,Lekki,0.63,0.22,0.82,0.3,0.12,0.5,0.16,0.24
389,Environmental Pollution,Burning refuse causing air pollution.,Berger,0.64,0.71,0.63,0.6,0.95,0.75,0.2,0.7
390,Flooding,Severe flooding due to blocked drainage.,Oshodi,0.28,0.28,0.89,0.35,0.51,0.83,0.97,0.43
391,Blocked Drainage,Sewage water overflowing onto the street.,Yaba,0.89,0.76,0.69,0.12,0.84,0.85,0.64,0.22
392,Environmental Pollution,Burning refuse causing air pollution.,Maryland,0.73,0.29,0.85,0.51,0.82,0.47,1.0,0.7
393,Environmental Pollution,Thick smoke from nearby factory.,Berger,0.8,0.14,0.31,0.58,0.86,0.82,0.45,0.98
394,Water Leakage,Burst water pipe wasting clean water.,Ajah,0.93,0.31,0.64,0.53,0.74,0.14,0.49,0.15
395,Security Issue,Area experiencing constant theft at night.,Berger,0.18,0.3,0.64,0.77,0.92,0.67,0.58,0.59
396,Water Leakage,Strong water pressure burst the pipe overnight.,Victoria Island,0.69,0.23,0.33,0.89,0.25,0.27,0.99,0.4
397,Blocked Drainage,Blocked gutter causing mosquitoes.,Ajah,0.98,0.6,0.9,0.77,0.74,0.85,0.43,0.73
398,Road Damage,Large pothole causing traffic buildup.,Festac,0.65,0.31,0.74,0.82,0.18,0.2,0.13,0.89
399,Blocked Drainage,Drainage filled with plastic waste.,Oshodi,0.35,0.74,0.98,0.5,0.3,0.98,0.18,0.58
400,Fire Hazard,Electric wire sparking near transformer.,Surulere,0.65,0.41,0.51,0.9,0.89,0.21,0.87,0.74
401,Electricity Outage,Transformer sparking and making noise.,Maryland,0.69,0.94,0.34,0.38,0.9,0.85,0.78,0.57
402,Road Damage,Part of the road collapsed after rainfall.,Berger,0.13,0.61,0.95,0.13,0.22,0.51,0.12,0.68
403,Blocked Drainage,Drainage filled with plastic waste.,Ajah,0.18,0.12,0.91,0.64,0.93,0.48,0.79,0.87
404,Waste Management,Garbage not collected for over a week.,Yaba,0.4,0.23,0.23,0.28,0.36,0.64,0.84,0.14
405,Water Leakage,Strong water pressure burst the pipe overnight.,Badagry,0.56,0.91,0.4,0.36,0.3,0.15,0.42,0.55
406,Flooding,"Street flooded after heavy rain, blocking movement.",Festac,0.98,0.55,0.93,0.12,0.46,0.59,0.1,0.29
407,Flooding,Floodwater entering shops and houses.,Agege,0.97,0.29,0.13,0.64,0.67,0.47,0.78,0.38
408,Waste Management,Garbage not collected for over a week.,Lekki,0.36,0.93,0.21,0.3,0.31,0.59,0.97,0.25
409,Blocked Drainage,Blocked gutter causing mosquitoes.,Ikorodu,0.16,0.42,0.17,0.7,0.47,0.32,0.28,0.36
410,Security Issue,Residents robbed by armed men.,Agege,0.55,0.57,0.54,0.14,0.31,0.26,0.14,0.91
411,Environmental Pollution,Burning refuse causing air pollution.,Maryland,0.42,0.61,0.59,0.45,0.39,0.68,0.84,0.93
412,Fire Hazard,Smoke coming from abandoned structure.,Ikorodu,0.28,0.29,0.72,0.3,0.74,0.69,0.65,0.92
413,Flooding,"Street flooded after heavy rain, blocking movement.",Yaba,0.77,0.65,0.87,0.24,0.24,0.23,0.49,0.63
414,Environmental Pollution,Thick smoke from nearby factory.,Lekki,0.57,0.28,0.76,0.92,0.99,0.58,0.48,0.19
415,Blocked Drainage,Sewage water overflowing onto the street.,Victoria Island,0.27,0.57,0.31,0.82,0.69,0.17,0.62,0.57
416,Environmental Pollution,Thick smoke from nearby factory.,Agege,0.74,0.71,1.0,0.12,0.89,0.37,0.56,0.77
417,Flooding,Severe flooding due to blocked drainage.,Badagry,0.4,0.97,0.23,0.24,0.96,0.68,0.26,0.71
418,Environmental Pollution,Oil spill contaminating the ground.,Ajah,0.14,0.13,0.99,0.78,0.11,0.52,0.58,0.33
419,Environmental Pollution,Burning refuse causing air pollution.,Victoria Island,0.39,0.77,0.62,0.82,0.42,0.72,0.83,0.33
420,Waste Management,Garbage not collected for over a week.,Agege,0.36,0.3,0.11,0.99,0.29,0.33,0.79,0.57
421,Blocked Drainage,Blocked gutter causing mosquitoes.,Badagry,0.13,0.4,0.96,0.84,0.4,0.43,0.16,0.43
422,Waste Management,Overflowing waste bins causing smell and flies.,Lekki,0.49,0.63,1.0,0.68,0.35,0.88,0.84,0.75
423,Water Leakage,Water leakage causing erosion.,Agege,0.66,0.96,0.37,0.17,0.49,0.24,0.47,0.41
424,Flooding,Severe flooding due to blocked drainage.,Badagry,0.27,0.66,0.16,0.24,0.24,0.95,0.35,0.58
425,Road Damage,Large pothole causing traffic buildup.,Surulere,0.7,0.67,0.99,0.69,0.48,0.66,0.18,1.0
426,Security Issue,Area experiencing constant theft at night.,Yaba,0.71,0.6,0.27,0.57,0.8,0.54,0.15,0.67
427,Road Damage,Part of the road collapsed after rainfall.,Ikeja,0.25,0.22,0.17,0.17,0.76,0.27,0.56,0.88
428,Road Damage,Part of the road collapsed after rainfall.,Abule Egba,0.3,0.93,0.71,0.8,0.73,0.79,0.28,0.42
429,Electricity Outage,Electric poles tilted dangerously.,Badagry,0.47,0.11,0.95,0.5,0.59,0.99,0.58,0.76
430,Waste Management,Garbage not collected for over a week.,Lekki,0.32,0.68,0.64,0.86,0.8,0.93,0.59,0.78
431,Blocked Drainage,Sewage water overflowing onto the street.,Berger,0.13,0.12,0.33,0.89,0.58,0.33,0.27,0.42
432,Environmental Pollution,Burning refuse causing air pollution.,Ajah,0.31,0.36,0.25,0.72,0.96,0.51,0.99,0.36
433,Road Damage,Part of the road collapsed after rainfall.,Ikorodu,0.18,0.92,0.59,0.51,0.38,0.69,0.7,0.14
434,Electricity Outage,Power outage for 48 hours.,Lekki,0.22,0.36,0.45,0.55,0.94,0.77,0.19,0.71
435,Environmental Pollution,Burning refuse causing air pollution.,Oshodi,0.98,0.84,0.74,0.11,0.45,0.26,0.37,0.81
436,Security Issue,Residents robbed by armed men.,Ajah,0.74,0.24,0.71,0.48,0.94,0.47,0.85,0.35
437,Waste Management,Garbage not collected for over a week.,Yaba,0.52,0.23,0.57,0.91,0.19,0.31,0.22,0.55
438,Street Light Fault,Flickering light causing visibility issues.,Ogba,0.39,0.48,0.82,0.75,0.75,0.16,0.72,0.34
439,Security Issue,Area experiencing constant theft at night.,Ogba,0.55,0.47,0.31,0.34,0.59,0.11,0.14,0.15
440,Street Light Fault,Flickering light causing visibility issues.,Victoria Island,0.79,0.35,0.18,0.92,0.36,0.39,0.29,0.7
441,Security Issue,Residents robbed by armed men.,Ikeja,0.79,0.77,0.74,0.7,0.43,0.24,0.23,0.54
442,Waste Management,Garbage not collected for over a week.,Ajah,0.65,0.67,0.41,0.12,0.93,0.21,0.14,0.24
443,Road Damage,Large pothole causing traffic buildup.,Maryland,0.61,0.2,0.18,0.29,0.34,0.72,0.59,0.98
444,Flooding,"Street flooded after heavy rain, blocking movement.",Abule Egba,0.33,0.18,0.76,0.91,0.9,0.48,0.94,0.53
445,Blocked Drainage,Drainage filled with plastic waste.,Ajah,0.65,0.15,0.14,0.38,0.15,0.22,0.43,0.13
446,Blocked Drainage,Blocked gutter causing mosquitoes.,Maryland,0.41,0.45,0.47,0.53,0.26,0.28,0.87,0.19
447,Road Damage,Large pothole causing traffic buildup.,Badagry,0.17,0.56,0.5,0.93,0.37,0.3,0.77,0.12
448,Road Damage,Part of the road collapsed after rainfall.,Surulere,0.33,0.48,0.62,0.76,0.13,0.75,0.13,0.25
449,Street Light Fault,Completely dark area at night due to faulty light.,Victoria Island,0.66,0.44,0.5,0.82,0.58,0.8,0.67,0.13
450,Security Issue,Residents robbed by armed men.,Victoria Island,0.77,0.28,0.7,0.15,0.17,0.57,0.71,0.34
451,Water Leakage,Burst water pipe wasting clean water.,Ajah,0.48,0.58,0.59,0.48,0.43,0.77,0.22,0.32
452,Water Leakage,Water leakage causing erosion.,Yaba,0.38,0.97,0.45,0.81,0.29,0.86,0.51,0.83
453,Street Light Fault,Street light not working for 2 weeks.,Festac,0.94,0.75,0.74,0.82,0.91,0.2,0.72,0.81
